Model,CPU Time,IPU Time
ResNet10_1111_4.U8S8.onnx,1.8717529,8.269969299999346
ResNet10_1111_6.U8S8.onnx,2.5674117,8.108792799999776
ResNet10_1111_8.U8S8.onnx,3.5455245,8.287699399999454
ResNet10_22_4.U8S8.onnx,1.6064468,7.7339816000000114
ResNet10_22_6.U8S8.onnx,2.2081593,7.837330499999981
ResNet10_22_8.U8S8.onnx,2.7521948,7.697161800000178
ResNet12_2111_4.U8S8.onnx,2.0935401,8.738617600000067
ResNet12_2111_6.U8S8.onnx,3.0900235,8.903890100000169
ResNet12_2111_8.U8S8.onnx,4.1593794,8.723434799999886
ResNet14_2211_4.U8S8.onnx,2.3619324,9.487967600000081
ResNet14_2211_6.U8S8.onnx,3.2820707,9.639269599999949
ResNet14_2211_8.U8S8.onnx,4.5173192,9.316346400000263
ResNet14_222_4.U8S8.onnx,2.2513987,8.882118200000106
ResNet14_222_6.U8S8.onnx,3.257321,9.143361500000019
ResNet14_222_8.U8S8.onnx,4.216188,8.934766700000843
ResNet16_2221_4.U8S8.onnx,2.722746,9.942197599999995
ResNet16_2221_6.U8S8.onnx,4.1889586,10.221836500000052
ResNet16_2221_8.U8S8.onnx,5.6440594,9.977555300000006
ResNet18_2222_4.U8S8.onnx,3.6292706,10.800581199999977
ResNet18_2222_6.U8S8.onnx,5.2090907,10.82645130000012
ResNet18_2222_8.U8S8.onnx,7.4969121,10.735090399999912
ResNet34_3463_4.U8S8.onnx,6.3848804,15.356808400000071
ResNet34_3463_6.U8S8.onnx,9.4051659,15.544282599999843
ResNet34_3463_8.U8S8.onnx,13.6893274,15.096815899999996
